author_name,author_id,field_of_expertise_1,field_of_expertise_2,field_of_expertise_3,field_of_expertise_4,field_of_expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Olaf Sporns,gzPWwdIAAAAJ,Network Science,Computational Neuroscience,Theoretical Neuroscience,Connectome,Connectomics,,,,,,,,,,,394,320,360,382,417,585,826,902,1192,1951,2614,3332,4623,5682,6341,6901,7857,8185,8561,8816,9869,10245,2589
Georgios  B. Giannakis,Nu_6R8sAAAAJ,Signal processing,machine learning,wireless communications,power systems,network science,,,233,296,307,386,564,495,602,738,910,1290,1657,2303,3140,3967,4234,4510,4416,4398,4162,4322,4558,4751,4171,4352,4345,4271,4270,4060,3997,3911,750
Alessandro Vespignani,U3CXAPsAAAAJ,Network Science,Computational Epidemiology,Data Science,Statistical Physics,Complex Systems,,,,,,,,,,242,258,535,641,882,1340,1728,2026,2223,2390,2620,3044,3544,4095,4392,4798,5094,4980,5240,5138,8911,10683,8641,1921
Don Towsley,KIFPVWoAAAAJ,networking,network science,performance evaluation,,,348,356,430,541,556,591,743,970,1192,1546,1929,2439,2971,3509,3763,3919,3956,3672,3822,3866,3489,3398,3393,3298,3112,3011,2794,2831,2743,2680,2609,2614,575
Nicholas A. Christakis,sR_OzkgAAAAJ,network science,sociology,behavior genetics,social networks,public health,,,,,,,,,182,279,447,569,613,749,805,983,1151,1539,1891,2529,3368,3927,4648,5045,5383,5218,5129,5166,5140,5220,5469,5041,1050
Nitesh V Chawla,hDLBEhkAAAAJ,Data science,machine learning,network science,,,,,,,,,,,,,,,,,152,261,288,424,581,707,969,1235,1532,1922,2230,2539,2973,4053,5390,6624,8082,9211,2266
Brian Uzzi,uGJ_6aQAAAAJ,social networks,network science,social media,complex systems,sociology of science,,,,,,,,142,193,298,416,543,714,828,1036,1377,1437,1823,1898,2271,2383,2505,2799,2795,2954,2941,2942,2858,3028,2921,2944,2944,804
Vito Latora,jXTPa_AAAAAJ,Complex Networks,Network Science,Complex Systems,Statistical Mechanics,Nonlinear dynamics,,,,,,,,,,,130,234,195,336,426,622,1045,1301,1506,1686,2012,2382,2754,2850,2894,3212,3128,3429,3479,3415,3897,4247,1133
Kathleen M. Carley,KeJfN-IAAAAJ,network science,computer simulation,social media analytics,,,,,,142,169,230,271,317,515,475,562,614,858,1030,1205,1363,1434,1627,1954,1817,2050,2245,2383,2484,2432,2482,2436,2408,2438,2863,3046,3114,699
Yong He,PwVP55AAAAAJ,Neuroimaging,MRI,Connectome,Network science,Development,,,,,,,,,,,,,,,,,,239,395,730,1196,1768,2515,2955,3941,3857,4288,4039,4228,4307,4933,5079,1519
